method,x_offset,invariant,initial_direction,real,imag
reference,0.20999999999999996,s2*s3,1,-2.706282245832449,-2.7882195841172646
reference,0.20999999999999996,s3*s4,0,0.8977144105168258,-0.2994320017430112
reference,0.20999999999999996,s3*s4,1,-0.35127643933958086,0.14623201466880859
reference,0.20999999999999996,s1*s4,0,-8.76185711874631,-14.629431082279574
reference,0.20999999999999996,s1*s4,1,5.246688238721974,6.683208337155955
reference,0.22499999999999998,s1*s2,0,-82.07669959528188,-27.293816804404166
reference,0.22499999999999998,s1*s2,1,37.61166351123895,2.499122220174348
reference,0.22499999999999998,s2*s3,0,2.599815882578738,8.34640475893742
reference,0.22499999999999998,s2*s3,1,-2.706282245818537,-2.788219584114281
reference,0.22499999999999998,s3*s4,0,0.897714410511834,-0.2994320017356603
reference,0.22499999999999998,s3*s4,1,-0.3512764393388776,0.14623201466501207
reference,0.22499999999999998,s1*s4,0,-8.761857118808415,-14.629431082305658
reference,0.22499999999999998,s1*s4,1,5.246688238747161,6.683208337158227
reference,0.24,s1*s2,0,-82.07669959514261,-27.29381680425837
reference,0.24,s1*s2,1,37.61166351113165,2.4991222201236445
reference,0.24,s2*s3,0,2.599815882499805,8.346404758962137
reference,0.24,s2*s3,1,-2.7062822457858986,-2.788219584140446
reference,0.24,s3*s4,0,0.8977144105172785,-0.29943200171945333
reference,0.24,s3*s4,1,-0.35127643934444736,0.14623201465831487
reference,0.24,s1*s4,0,-8.761857118941931,-14.629431082090312
reference,0.24,s1*s4,1,5.246688238767708,6.683208337025894
RK45_0.001,-0.24,s1*s2,0,-82.07682568785994,-27.29390915836811
RK45_0.001,-0.24,s1*s2,1,37.611635175609315,2.499117896033328
RK45_0.001,-0.24,s2*s3,0,2.599816161882296,8.346419834699736
RK45_0.001,-0.24,s2*s3,1,-2.706280982688131,-2.78821729595564
RK45_0.001,-0.24,s3*s4,0,0.8977161612592987,-0.29943195159133057
RK45_0.001,-0.24,s3*s4,1,-0.3512761358995692,0.14623187563357906
RK45_0.001,-0.24,s1*s4,0,-8.761864721950332,-14.629462455435961
RK45_0.001,-0.24,s1*s4,1,5.246684074704052,6.683203826838906
RK45_0.001,-0.22499999999999998,s1*s2,0,-82.07682254189709,-27.293931211404804
RK45_0.001,-0.22499999999999998,s1*s2,1,37.61164508190082,2.499125386841112
RK45_0.001,-0.22499999999999998,s2*s3,0,2.5998139529327116,8.346421399130202
RK45_0.001,-0.22499999999999998,s2*s3,1,-2.706281384671038,-2.7882184718027236
RK45_0.001,-0.22499999999999998,s3*s4,0,0.8977162444212319,-0.29943177971553553
RK45_0.001,-0.22499999999999998,s3*s4,1,-0.35127625852774425,0.14623183513980495
RK45_0.001,-0.22499999999999998,s1*s4,0,-8.761860868890047,-14.629464499791474
RK45_0.001,-0.22499999999999998,s1*s4,1,5.246684265737677,6.6832069361553685
RK45_0.001,-0.21,s1*s2,0,-82.07682712460011,-27.29394332483757
RK45_0.001,-0.21,s1*s2,1,37.6116470710461,2.4991290588639132
RK45_0.001,-0.21,s2*s3,0,2.599813453127773,8.346422715281651
RK45_0.001,-0.21,s2*s3,1,-2.7062812684593998,-2.7882188345931085
RK45_0.001,-0.21,s3*s4,0,0.897716334800702,-0.2994316952854135
RK45_0.001,-0.21,s3*s4,1,-0.3512762983415901,0.14623180956446524
RK45_0.001,-0.21,s1*s4,0,-8.761859436013225,-14.62946699781153
RK45_0.001,-0.21,s1*s4,1,5.246684046605482,6.68320785788248
RK45_0.001,-0.195,s1*s2,0,-82.07684273017624,-27.293921010018835
RK45_0.001,-0.195,s1*s2,1,37.61163169174042,2.4991204107046032
RK45_0.001,-0.195,s2*s3,0,2.5998169752853775,8.346422063888157
RK45_0.001,-0.195,s2*s3,1,-2.706280412407173,-2.788217172695957
RK45_0.001,-0.195,s3*s4,0,0.8977163413355684,-0.29943190017779187
RK45_0.001,-0.195,s3*s4,1,-0.35127612796390123,0.146231844698543
RK45_0.001,-0.195,s1*s4,0,-8.761864753273898,-14.62946743012397
RK45_0.001,-0.195,s1*s4,1,5.246683371803305,6.683203507568404
RK45_0.001,-0.18,s1*s2,0,-82.07685520282509,-27.293888628128464
RK45_0.001,-0.18,s1*s2,1,37.61161523662217,2.4991085838819496
RK45_0.001,-0.18,s2*s3,0,2.5998209252365925,8.346420393063372
RK45_0.001,-0.18,s2*s3,1,-2.706279745377059,-2.7882152370570297
RK45_0.001,-0.18,s3*s4,0,0.897716278346569,-0.2994321828349643
RK45_0.001,-0.18,s3*s4,1,-0.35127592753296377,0.14623190140721554
RK45_0.001,-0.18,s1*s4,0,-8.761871362644277,-14.629465813610683
RK45_0.001,-0.18,s1*s4,1,5.246682950422268,6.683198529343701
RK45_0.001,-0.16499999999999998,s1*s2,0,-82.07684764886393,-27.29388142720778
RK45_0.001,-0.16499999999999998,s1*s2,1,37.61161689823942,2.4991069253447895
RK45_0.001,-0.16499999999999998,s2*s3,0,2.5998207205340207,8.346419280087712
RK45_0.001,-0.16499999999999998,s2*s3,1,-2.706280060120947,-2.788215259344482
RK45_0.001,-0.16499999999999998,s3*s4,0,0.8977161867788842,-0.2994322225592867
RK45_0.001,-0.16499999999999998,s3*s4,1,-0.3512759288630284,0.14623191932655613
RK45_0.001,-0.16499999999999998,s1*s4,0,-8.761871617946314,-14.629463321773093
RK45_0.001,-0.16499999999999998,s1*s4,1,5.246683353331507,6.683198630056937
RK45_0.001,-0.15,s1*s2,0,-82.07682531806066,-27.29390169347933
RK45_0.001,-0.15,s1*s2,1,37.61163359420377,2.499115927309553
RK45_0.001,-0.15,s2*s3,0,2.5998168394389376,8.346419261823463
